ID,totalyearlycompensation,yearsofexperience,yearsatcompany,gender,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Education
FLP00164,110000,6,2,Male,1,0,0,0,0,1,0,0,0,0,Master's Degree
FLP00165,236000,12,1,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00166,309000,11,7,Female,1,0,0,0,0,1,0,0,0,0,Master's Degree
FLP00167,213000,5,2,Male,1,0,0,0,0,0,1,0,0,0,Master's Degree
FLP00168,122000,4,2,Other,0,1,0,0,0,0,0,1,0,0,Bachelor's Degree
FLP00169,190000,6,2,Male,1,0,0,0,0,1,0,0,0,0,Master's Degree
FLP00170,149000,5,0,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00171,180000,4,2,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00172,236000,5,5,Male,1,0,0,0,0,1,0,0,0,0,Master's Degree
FLP00173,310000,20,1,Male,1,0,0,0,0,0,1,0,0,0,Master's Degree
FLP00174,171000,10,1,NA,0,0,1,0,0,0,0,0,0,0,PhD
FLP00175,135000,7,1,Male,0,0,0,0,1,0,1,0,0,0,Some College
FLP00176,75000,15,15,NA,1,0,0,0,0,0,0,0,0,0,Master's Degree
FLP00177,277000,3,3,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00178,86000,0,0,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00179,206000,12,2,Male,1,0,0,0,0,0,1,0,0,0,Master's Degree
FLP00180,175000,0,0,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00181,216000,13,3,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00182,250000,10,2,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00183,250000,15,0,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00184,98000,0,0,NA,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00185,105000,5,3,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00186,87000,3,3,Male,1,0,0,0,0,0,1,0,0,0,Master's Degree
FLP00187,140000,3,1,Male,1,0,0,0,0,1,0,0,0,0,Master's Degree
FLP00188,102000,5,0,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00189,101000,5,0,Male,1,0,0,0,0,1,0,0,0,0,Master's Degree
FLP00190,116000,1,0,Female,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00191,123000,5,1,Female,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00192,151000,2,2,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00193,180000,5,0,Male,0,0,0,1,0,0,1,0,0,0,Highschool
FLP00194,93000,3,2,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00195,85000,4,0,Male,1,0,0,0,0,0,0,0,0,0,Master's Degree
FLP00196,58000,1,1,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00197,50000,0,0,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00198,95000,4,0,NA,0,1,0,0,0,0,0,0,0,0,Bachelor's Degree
FLP00199,131000,3,3,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00200,100000,2,1,Male,0,1,0,0,0,1,0,0,0,0,Bachelor's Degree
FLP00201,172000,8,2,Male,1,0,0,0,0,0,1,0,0,0,Master's Degree
FLP00202,118000,6,1,Male,1,0,0,0,0,0,1,0,0,0,Master's Degree
FLP00203,143000,5,0,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00204,240000,12,1,Female,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00205,97000,4,2,Male,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
FLP00206,214000,12,1,Female,0,1,0,0,0,0,1,0,0,0,Bachelor's Degree
